threshold,coverage,num_clusters,phases,silhouette,calinski_harabasz,davies_bouldin
0.1,0.29131022062134176,6,2,0.9946933363635798,32864.50970001375,0.029020731318306545
0.15,0.29131022062134176,6,2,0.9946933363635798,32864.50970001375,0.029020731318306545
0.2,0.29131022062134176,6,2,0.9946933363635798,32864.50970001375,0.029020731318306545
0.25,0.5677622692480865,7,2,0.9421409240345058,6437.8178972354,0.11087203654107344
0.3,1.0,11,3,0.87261155718163,3134.977972591047,0.44597475450526897
0.35,1.0,11,3,0.87261155718163,3134.977972591047,0.44597475450526897
0.4,1.0,11,3,0.8726115579072495,3134.977972591047,0.4459747537706226
0.45,1.0,11,3,0.8726115579072495,3134.977972591047,0.4459747537706226
0.5,1.0,11,3,0.8726115579072495,3134.977972591047,0.4459747537706225
0.55,1.0,11,2,0.8726115571850528,3134.9779725910457,0.4459747537706228
0.6,1.0,11,2,0.8726115571850528,3134.9779725910457,0.4459747537706228
0.65,1.0,11,2,0.8726115571850528,3134.9779725910457,0.4459747537706228
0.7,1.0,11,2,0.8726115571850528,3134.9779725910457,0.4459747537706228
0.75,1.0,11,3,0.8726115571855795,3134.977972591047,0.4459747537706228
0.8,0.9968482665466006,27,6,0.7724886528928047,1780.8370317351655,0.47984197524616046
0.85,0.9936965330932013,32,6,0.15208941293844577,1272.7637254511876,0.7998485080518447
0.9,0.9608284556506078,203,6,-0.34257773422453336,84.33752752482238,2.512736483674389
